行列号:指标名称||地区代码||年份||月份||单位||单月or累计
B5:北京海关商品出口总额[S]||xj35||default||default||千美元||D
B6:长春海关商品出口总额[S]||xj35||default||default||千美元||D
B7:长沙海关商品出口总额[S]||xj35||default||default||千美元||D
B8:成都海关商品出口总额[S]||xj35||default||default||千美元||D
B9:大连海关商品出口总额[S]||xj35||default||default||千美元||D
B10:福州海关商品出口总额[S]||xj35||default||default||千美元||D
B11:拱北海关商品出口总额[S]||xj35||default||default||千美元||D
B12:广州海关商品出口总额[S]||xj35||default||default||千美元||D
B13:贵阳海关商品出口总额[S]||xj35||default||default||千美元||D
B14:哈尔滨海关商品出口总额[S]||xj35||default||default||千美元||D
B15:海口海关商品出口总额[S]||xj35||default||default||千美元||D
B16:杭州海关商品出口总额[S]||xj35||default||default||千美元||D
B17:合肥海关商品出口总额[S]||xj35||default||default||千美元||D
B18:呼和浩特海关商品出口总额[S]||xj35||default||default||千美元||D
B19:黄埔海关商品出口总额[S]||xj35||default||default||千美元||D
B20:济南海关商品出口总额[S]||xj35||default||default||千美元||D
B21:江门海关商品出口总额[S]||xj35||default||default||千美元||D
B22:昆明海关商品出口总额[S]||xj35||default||default||千美元||D
B23:拉萨海关商品出口总额[S]||xj35||default||default||千美元||D
B24:兰州海关商品出口总额[S]||xj35||default||default||千美元||D
B25:满洲里海关商品出口总额[S]||xj35||default||default||千美元||D
B26:南昌海关商品出口总额[S]||xj35||default||default||千美元||D
B27:南京海关商品出口总额[S]||xj35||default||default||千美元||D
B28:南宁海关商品出口总额[S]||xj35||default||default||千美元||D
B29:宁波海关商品出口总额[S]||xj35||default||default||千美元||D
B30:青岛海关商品出口总额[S]||xj35||default||default||千美元||D
B31:汕头海关商品出口总额[S]||xj35||default||default||千美元||D
B32:上海海关商品出口总额[S]||xj35||default||default||千美元||D
B33:深圳海关商品出口总额[S]||xj35||default||default||千美元||D
B34:沈阳海关商品出口总额[S]||xj35||default||default||千美元||D
B35:石家庄海关商品出口总额[S]||xj35||default||default||千美元||D
B36:太原海关商品出口总额[S]||xj35||default||default||千美元||D
B37:天津海关商品出口总额[S]||xj35||default||default||千美元||D
B38:乌鲁木齐海关商品出口总额[S]||xj35||default||default||千美元||D
B39:武汉海关商品出口总额[S]||xj35||default||default||千美元||D
B40:西安海关商品出口总额[S]||xj35||default||default||千美元||D
B41:西宁海关商品出口总额[S]||xj35||default||default||千美元||D
B42:厦门海关商品出口总额[S]||xj35||default||default||千美元||D
B43:银川海关商品出口总额[S]||xj35||default||default||千美元||D
B44:湛江海关商品出口总额[S]||xj35||default||default||千美元||D
B45:郑州海关商品出口总额[S]||xj35||default||default||千美元||D
B46:重庆海关商品出口总额[S]||xj35||default||default||千美元||D
C5:北京海关商品出口总额同比增长[S]||xj35||default||default||%||D
C6:长春海关商品出口总额同比增长[S]||xj35||default||default||%||D
C7:长沙海关商品出口总额同比增长[S]||xj35||default||default||%||D
C8:成都海关商品出口总额同比增长[S]||xj35||default||default||%||D
C9:大连海关商品出口总额同比增长[S]||xj35||default||default||%||D
C10:福州海关商品出口总额同比增长[S]||xj35||default||default||%||D
C11:拱北海关商品出口总额同比增长[S]||xj35||default||default||%||D
C12:广州海关商品出口总额同比增长[S]||xj35||default||default||%||D
C13:贵阳海关商品出口总额同比增长[S]||xj35||default||default||%||D
C14:哈尔滨海关商品出口总额同比增长[S]||xj35||default||default||%||D
C15:海口海关商品出口总额同比增长[S]||xj35||default||default||%||D
C16:杭州海关商品出口总额同比增长[S]||xj35||default||default||%||D
C17:合肥海关商品出口总额同比增长[S]||xj35||default||default||%||D
C18:呼和浩特海关商品出口总额同比增长[S]||xj35||default||default||%||D
C19:黄埔海关商品出口总额同比增长[S]||xj35||default||default||%||D
C20:济南海关商品出口总额同比增长[S]||xj35||default||default||%||D
C21:江门海关商品出口总额同比增长[S]||xj35||default||default||%||D
C22:昆明海关商品出口总额同比增长[S]||xj35||default||default||%||D
C23:拉萨海关商品出口总额同比增长[S]||xj35||default||default||%||D
C24:兰州海关商品出口总额同比增长[S]||xj35||default||default||%||D
